location,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653
variable,Temperature,Relative Humidity,Mean Sea Level Pressure
unit,°C,%,hPa
level,2 m elevation corrected,2 m,MSL
resolution,hourly,hourly,hourly
aggregation,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Relative Humidity [2 m],Basel Mean Sea Level Pressure [MSL]
20240111T0200,-3.519755,89.16612,1028.1
20240111T0300,-3.5397549,88.21562,1028.3
20240111T0400,-3.4497547,86.02789,1028.0
20240111T0500,-4.0097547,87.41808,1027.8
20240111T0600,-4.1097546,87.742004,1028.2
20240111T0700,-4.369755,88.59176,1028.3
20240111T0800,-3.8697548,89.12675,1028.7
20240111T0900,-2.4897547,85.04981,1029.0
20240111T1000,-3.6697545,85.14428,1030.1
20240111T1100,-2.1897545,84.70507,1029.9
20240111T1200,-1.4197546,83.10207,1029.3
20240111T1300,-0.8197546,82.75533,1028.9
20240111T1400,-0.97975457,83.356255,1028.8
20240111T1500,-2.3597546,85.45649,1028.7
20240111T1600,-2.8797545,85.77664,1029.4
20240111T1700,-4.309755,87.91999,1030.1
20240111T1800,-4.1297545,89.16565,1030.2
20240111T1900,-5.0697546,90.93498,1030.5
20240111T2000,-4.8597546,91.02635,1031.1
20240111T2100,-4.459755,90.09265,1030.9
20240111T2200,-4.559755,89.25407,1032.0
20240111T2300,-4.829755,89.36116,1032.0
20240112T0000,-5.1897545,88.97525,1031.6
20240112T0100,-5.309755,88.41118,1031.9
20240112T0200,-5.4897547,88.80216,1031.8
20240112T0300,-5.559755,89.90368,1031.8
20240112T0400,-5.639755,89.5465,1031.7
20240112T0500,-6.1097546,90.263626,1031.5
20240112T0600,-6.4697547,90.436066,1031.7
20240112T0700,-6.389755,90.79842,1031.9
20240112T0800,-5.209755,90.43026,1032.0
20240112T0900,-3.5397549,85.68674,1031.9
20240112T1000,-2.9297547,80.800255,1033.9
20240112T1100,-3.6797547,86.459854,1033.6
20240112T1200,-2.6397548,83.67865,1032.5
20240112T1300,-2.0997548,82.87261,1032.1
20240112T1400,-2.2197547,83.23325,1031.3
20240112T1500,-2.8197546,84.22872,1031.3
20240112T1600,-3.8997545,88.03751,1031.4
20240112T1700,-4.289755,91.01352,1031.2
20240112T1800,-3.769755,90.92613,1031.3
20240112T1900,-4.3997545,92.54983,1031.6
20240112T2000,-4.6097546,92.176994,1031.7
20240112T2100,-4.3397546,91.70865,1031.5
20240112T2200,-5.1997547,92.193695,1032.3
20240112T2300,-5.5697546,93.09043,1031.9
20240113T0000,-5.289755,92.54173,1031.4
20240113T0100,-4.6597548,91.186516,1031.1
20240113T0200,-4.7597547,90.33835,1030.2
20240113T0300,-4.849755,89.35889,1029.8
20240113T0400,-5.1697545,89.3917,1029.4
20240113T0500,-5.7197547,91.93139,1029.4
20240113T0600,-6.119755,93.47709,1029.3
20240113T0700,-6.039755,93.628914,1029.3
20240113T0800,-7.249755,94.632065,1029.3
20240113T0900,-7.269755,93.67189,1028.8
20240113T1000,-5.0697546,90.93498,1030.1
