### 
### Experiment date : 2025-07-02 14:41:31 
### Parameters of the wind tunnel system 
### 

mode : 1
max_time : 1800
is_save_data : True
path_save_data : experiments\exp_2025-07-02_14-24-48
is_density_link_temperature : False
alpha : 0.1
beta : 0.02
sampling_rate : 1000
sampling_batch : 400
k_pitot : 86.207
offset_pitot : 0
offset_T : -0.146
k_T : 100
k_atm : 5200
offset_atm : 80000
factor_conv : 1
P : 0.12
I : 0.015
D : 0.075
conv_factor : 0.05

### 
### Data 
### 

t [s], v [m/s], v_target [m/s], T [K], Pressure_pitot [Pa], P_amb [Pa], Control_signal [V]
232.25950360298157, 4.919572820555649, 5.0, 298, 14.418633232042222, 101905.46248482785, 1.6314464185294097
232.6794629096985, 4.92382911822825, 5.0, 298, 14.443593343514857, 101905.46248482785, 1.6331889419901604
233.09922242164612, 4.916638560918776, 5.0, 298, 14.401438488583295, 101905.46248482785, 1.6329907164501278
233.5192244052887, 4.805359021805289, 5.0, 298, 13.756912943445442, 101905.46248482785, 1.6336177802963132
233.9412591457367, 5.058001877977234, 5.0, 298, 15.241484906923468, 101905.46248482785, 1.636676603787759
234.36051440238953, 4.920802795813023, 5.0, 298, 14.425843930912096, 101905.46248482785, 1.6340213251080191
234.78166675567627, 5.097103906010798, 5.0, 298, 15.478051296769676, 101905.46248482785, 1.633525556384559
235.20125651359558, 5.051278813073622, 5.0, 298, 15.200994059423412, 101905.46248482785, 1.631668714958592
235.6232192516327, 5.130512356883455, 5.0, 298, 15.681614872557622, 101905.46248482785, 1.6296523558714375
236.05555152893066, 4.92094469625227, 5.0, 298, 14.42667593462785, 101905.46248482785, 1.6277351179647086
236.47722911834717, 4.789979825174831, 5.0, 298, 13.668997884147377, 101905.46248482785, 1.6300325220105831
236.8992121219635, 5.006986992416854, 5.0, 298, 14.935584874097714, 101905.46248482785, 1.6357150777533773
237.33318972587585, 4.9727955360004135, 5.0, 298, 14.732298632881685, 101905.46248482785, 1.6343172899486524
237.75510215759277, 4.9120917329959095, 5.0, 298, 14.37481436967915, 101905.46248482785, 1.6325751920974965
238.17867302894592, 4.876614623356569, 5.0, 298, 14.167922779028185, 101905.46248482785, 1.634354701642874
238.61100935935974, 4.976304768617749, 5.0, 298, 14.75309872577555, 101905.46248482785, 1.6364578123275852
239.03123998641968, 4.976632170740498, 5.0, 298, 14.755040067778976, 101905.46248482785, 1.6357062857958655
239.4532654285431, 4.994280012939993, 5.0, 298, 14.85987253596405, 101905.46248482785, 1.6347070393681573
239.87320041656494, 5.052937386007417, 5.0, 298, 15.210978104012467, 101905.46248482785, 1.6343681562035053
240.29259967803955, 5.0433008399819785, 5.0, 298, 15.153015178481567, 101905.46248482785, 1.63280222873719
240.71127319335938, 5.042931611055621, 5.0, 298, 15.150796501906221, 101905.46248482785, 1.6317333315532108
241.13266706466675, 4.815375079949567, 5.0, 298, 13.814321199832504, 101905.46248482785, 1.6312989460577514
241.55249094963074, 4.981493896109366, 5.0, 298, 14.783882863258468, 101905.46248482785, 1.6357092957122017
241.97247552871704, 4.974667434789997, 5.0, 298, 14.743392015758412, 101905.46248482785, 1.6361973745844043
242.3931896686554, 4.85887473728373, 5.0, 298, 14.06503165284654, 101905.46248482785, 1.6346778734876195
242.8121132850647, 4.985603960759686, 5.0, 298, 14.808288305587267, 101905.46248482785, 1.6373733928439869
243.23087310791016, 4.8190472485750515, 5.0, 298, 13.835398627298286, 101905.46248482785, 1.6370828520801888
243.65045142173767, 4.852403429175098, 5.0, 298, 14.027591485637586, 101905.46248482785, 1.639351459974597
244.07100677490234, 5.0539506904058165, 5.0, 298, 15.217079464594669, 101905.46248482785, 1.6419610928030406
244.49032759666443, 4.8661028188187325, 5.0, 298, 14.106909173206187, 101905.46248482785, 1.638494214568802
244.91092491149902, 4.866198482954671, 5.0, 298, 14.107463842350022, 101905.46248482785, 1.6397107128054118
245.33168244361877, 5.039653518930779, 5.0, 298, 15.131105747300031, 101905.46248482785, 1.6427598747810264
245.75138783454895, 4.8837687905284115, 5.0, 298, 14.209522964815912, 101905.46248482785, 1.6400891165995928
246.18546962738037, 4.827588707960916, 5.0, 298, 13.884486846527803, 101905.46248482785, 1.6410306270357562
246.60284900665283, 5.0373437232338345, 5.0, 298, 15.117239018704122, 101905.46248482785, 1.6447761928274491
247.02345824241638, 4.8741320609594005, 5.0, 298, 14.153501381288441, 101905.46248482785, 1.6422686110944256
247.443363904953, 4.9184845091258085, 5.0, 298, 14.412254536888103, 101905.46248482785, 1.642993035350297
247.8615095615387, 4.66671773495986, 5.0, 298, 12.97455211606425, 101905.46248482785, 1.6447145752175998
248.2829213142395, 4.941759737432581, 5.0, 298, 14.548980480843769, 101905.46248482785, 1.6502345590039167
248.7026879787445, 4.932566640555833, 5.0, 298, 14.494900239319723, 101905.46248482785, 1.6498737631064726
249.123126745224, 4.943596305353708, 5.0, 298, 14.559796529148576, 101905.46248482785, 1.647440149583188
249.54373049736023, 4.9691433051655345, 5.0, 298, 14.710666536272067, 101905.46248482785, 1.6476116616713052
249.95549321174622, 5.043670041878416, 5.0, 298, 15.155233855056911, 101905.46248482785, 1.6471625690785867
250.36668634414673, 5.029065957469201, 5.0, 298, 15.067596130330767, 101905.46248482785, 1.6452693384235895
250.78569793701172, 5.061360061557428, 5.0, 298, 15.261730330673494, 101905.46248482785, 1.6440923096984674
251.20663189888, 5.055700465094145, 5.0, 298, 15.227618178327559, 101905.46248482785, 1.643011106886748
251.62728786468506, 4.8656244699259315, 5.0, 298, 14.104135827487005, 101905.46248482785, 1.6419873276226877
252.05103874206543, 4.964597680157718, 5.0, 298, 14.683765082796004, 101905.46248482785, 1.6454398184409054
252.47258496284485, 4.969799031413093, 5.0, 298, 14.714549220278924, 101905.46248482785, 1.6464370666744053
252.88192415237427, 5.032027169521916, 5.0, 298, 15.085345542933531, 101905.46248482785, 1.6454749055674172
253.29449915885925, 5.032905943950931, 5.0, 298, 15.090614899799977, 101905.46248482785, 1.644203591590895
253.71811366081238, 5.033090929542805, 5.0, 298, 15.091724238087648, 101905.46248482785, 1.6430694601744087
254.12670278549194, 4.9233091014521335, 5.0, 298, 14.44054266322376, 101905.46248482785, 1.64260389913765
254.5451056957245, 5.038267768583815, 5.0, 298, 15.122785710142486, 101905.46248482785, 1.6445451744790582
254.96397852897644, 5.028880823820163, 5.0, 298, 15.066486792043095, 101905.46248482785, 1.6438564383572007
255.3851683139801, 5.01822415180839, 5.0, 298, 15.002699840501913, 101905.46248482785, 1.6423947279581812
255.80812644958496, 5.023184633298951, 5.0, 298, 15.032374639697158, 101905.46248482785, 1.6423617084096016
256.22748041152954, 5.068850441332682, 5.0, 298, 15.306935865896158, 101905.46248482785, 1.642126443405267
256.6469464302063, 5.044500647347994, 5.0, 298, 15.160225877351438, 101905.46248482785, 1.6408148050473987
257.07008242607117, 5.073440292970311, 5.0, 298, 15.334669323087976, 101905.46248482785, 1.6401650059819453
